,en,ru,pt-br,es-es,de,fr-fr,zh-cn,jp,ko,fi-es,,NOTES – use \n for newline,max length
statusdesc_radioactive,Toxic sludge in your clothes makes your health degrade slowly.\nWet clothes protect you from fire.\nCan be washed off by liquids.,Радиоактивные вещества на одежде медленно снижают здоровье.\nВлажная одежда защищает от огня.\nСмывается жидкостями.,O lodo tóxico em suas roupas faz sua saúde se degradar aos poucos.\nRoupas molhadas protegem você do fogo.\nPode ser enxaguado com líquidos.,La toxina en tu ropa hace que tu salud baje gradualmente.\nLa ropa mojada te protege del fuego.\nSe elimina con los líquidos.,Toxischer Schlamm klebt an deiner Kleidung und raubt dir langsam LP.\nFeuchte Kleidung schützt dich vor Feuer.\nKann mit Flüssigkeiten abgewaschen werden.,La vase toxique sur vos vêtements draine lentement votre santé.\nLes vêtements mouillés vous protègent du feu.\nPeut être lavée par des liquides.,毒液侵入你的衣服，令你的生命值缓慢减少。\n潮湿的衣服可保护你免受火焰伤害。\n可用液体清洗去除。,あなたの服に付いている猛毒ヘドロが、ヘルス減少をゆっくりにします。\n濡れている服は炎からあなたを守ってくれます。\n液体で洗い流すことができます。,옷에 묻은 독성 진흙이 체력을 서서히 깎습니다.\n젖은 옷은 불로부터 보호해줍니다.\n액체로 씻어낼 수 있습니다.,Olet radioaktiivisen mönjän peitossa. HP laskee hitaasti. Tuli ei sytytä. Voidaan pestä pois nesteiden avulla.,,,
status_alcoholic,Alcoholic,Алкоголь,Alcoólico,Alcohólico,Alkoholisch,Alcoolique,酒精,アルコホリック,알코올,Alkoholin peitossa,,,
statusdesc_alcoholic,The heavy scent of booze oozes of your clothes.\nAiming is disturbed.\nAnd alcohol is flammable too!,"От одежды сильно разит спиртным.\nСтало сложнее целиться.\nКроме того, алкоголь огнеопасен!",Suas roupas estão com um cheiro forte de bebida.\nA pontaria fica desequilibrada.\nE o álcool é inflamável também!,Tu ropa desprende un fuerte olor a licor.\nApuntar se complica.\n¡El alcohol es inflamable!,Der schwere Geruch von Schnaps strömt aus deiner Kleidung.\nDu zielst ungenau.\nAlkohol ist außerdem leicht entflammbar!,Une forte odeur d'alcool se dégage de vos vêtements.\nGêne la visée.\nEt l'alcool est inflammable aussi !,你的衣服散发出浓重的酒气。\n瞄准受到影响。\n同时酒精也非常易燃！,キツイお酒の臭いがあなたの服からにじみ出ます。\n照準が邪魔されます。\nまた、アルコールにも引火性があります！,옷에서 술 냄새가 진동합니다.\n조준이 어려워집니다.\n알코올은 가연성입니다!,Olet alkoholin peitossa. Tähtäyksessäsh shaattaa olla ongelmia. Palaminen kestää pidempään.,,,
status_poisoned,Poisoned,Яд,Envenenado,Envenenado,Vergiftet,Empoisonné(e),中毒,ポイズン,중독됨,Myrkytetty,,,
statusdesc_poisoned,A poisoning slowly degrades your health. ,Яд медленно снижает здоровье. ,Um veneno degrada sua saúde aos poucos. ,Un veneno mengua tu salud poco a poco. ,Eine Vergiftung raubt dir langsam LP. ,L'empoisonnement draine lentement votre santé. ,中毒会令你的生命值缓慢减少。 ,猛毒はあなたのヘルスをゆっくりと減少させます。 ,중독되면 체력이 서서히 깎입니다. ,Olet myrkytetty. HP laskee hitaasti.,,,
status_teleportation,Teleportation,Телепортация,Teletransporte,Teletransporte,Teleportierung,Téléportation,传送,テレポーテーション,텔레포트,Teleportaatio,,,
statusdesc_teleportation, A teleport curse affects you., На вас действует проклятие телепортации., Uma maldição de teletransporte afeta você., Sufres una maldición de teletransporte., Ein Teleportfluch liegt auf dir., Une malédiction de téléportation vous affecte., 你受到传送诅咒影响。, テレポートの呪いがあなたに影響を与えます。, 텔레포트의 저주를 받았습니다.,Olet teleportaatiokirouksen alaisena.,,,
status_hp_regeneration,Regeneration ,Восстановление ,Regeneração ,Regeneración ,Regeneration ,Régénération ,再生 ,再生 ,재생 ,Regenerointi,,,
statusdesc_hp_regeneration,A health regeneration spell affects you.,На вас действует заклинание восстановления здоровья.,Um feitiço de regeneração de saúde afeta você.,Estás bajo un hechizo de regeneración de salud.,Du stehst unter einem LP-Regenerations-Zauber.,Un sort de régénération de santé vous affecte.,你受到生命值再生法术影响。,ヘルス再生の呪文があなたに影響を与えます。,체력 재생 주문의 영향을 받고 있습니다.,Olet elämää generoivan loitsun alaisena.,,,
status_polymorph,Polymorph,Полиморфизм,Polimorfia,Polimorfo,Polymorph,Polymorphisme,变形,多形体,변신,Polymorffi,,,
statusdesc_polymorph,You're a sheep.,Вы — овечка.,Você é uma ovelha.,Eres una oveja.,Du bist ein Schaf.,Vous êtes un mouton.,你成了一只小绵羊。,あなたは羊になりました。,양이 되었습니다.,Olet lammas.,,,
status_polymorph_random,Chaos polymorph,Хаотический полиморфизм,Polimorfia do caos,Polimorfo caótico,Chaos-Polymorph,Polymorphisme chaotique,混乱变形,カオスな多形体,혼돈 변신,Kaoottinen polymorffi,,,
statusdesc_polymorph_random,A polymorph curse affects you.,На вас действует проклятие полиморфизма.,Uma maldição de polimorfia afeta você.,Sufres una maldición de polimorfia.,Ein Polymorph-Fluch liegt auf dir.,Une malédiction de polymorphisme vous affecte.,你受到变形诅咒影响。,多形体の呪いがあなたに影響を与えます。,변신의 저주를 받고 있습니다.,Olet polymorffikirouksen alaisena.,,,
status_berserk,Berserk,Неистовство,Fúria,Berserker,Berserker,Berserker,狂暴,バーサーク,버서커,Raivohullu,,,
statusdesc_berserk,A berserk curse affects you.,На вас действует проклятие неистовства.,Uma maldição de fúria afeta você.,Sufres una maldición de berserker.,Ein Berserkerfluch liegt auf dir.,Une malédiction de berserker vous affecte.,你受到狂暴诅咒影响。,凶暴な呪いがあなたに影響を与えます。,버서커의 저주를 받고 있습니다.,Olet raivohulluus-kirouksen alaisena.,,,
status_charm,Charmed,Чары,Encantado,Embrujado,Bezaubert,Charmé(e),迷惑,チャーム,매료됨,Lumottu,,,
statusdesc_charm,A charm affects you.,На вас действуют чары.,Um encantamento afeta você.,Estás bajo un encantamiento,Eine Bezauberung liegt auf dir.,Un charme vous affecte.,你受到迷惑影响。,魔力があなたに影響を与えます。,매료의 영향을 받고 있습니다.,Olet lumouksen alaisena.,,,
status_invisibility,Invisible,Невидимость,Invisível,Invisible,Unsichtbar,Invisible,隐形,透明,투명,Näkymätön.,,,
statusdesc_invisibility,"The magical liquid on your clothes makes you invisible.\nThe spell is disturbed by stained or wet clothes.\nNo, you can't remove the clothes.","Волшебная жидкость на одежде превращает вас в невидимку.\nЗаклинание разрушается испачканной или мокрой одеждой.\nНет, одежду снять нельзя.","O líquido mágico em suas roupas deixa você invisível.\nO feitiço é interrompido por roupas manchadas ou molhadas.\nNão, você não pode tirar suas roupas.","El líquido mágico en tu ropa te hace invisible.\nEl hechizo falla si la ropa se mancha o se moja.\nNo, no puedes quitarte la ropa.","Die magische Flüssigkeit auf deiner Kleidung macht dich unsichtbar.\nDer Zauber wird von fleckiger oder nasser Kleidung gestört.\nNein, du kannst die Kleidung nicht ausziehen.","Le liquide magique sur vos vêtements vous rend invisible.\nLe sort est perturbé par des vêtements tachés ou mouillés.\nNon, vous ne pouvez pas enlever ces vêtements.",你衣服上的魔法液体令你隐形。\n衣服脏污或潮湿，法术会受到影响。\n不，绝对不能脱衣服。,あなたの服に付いた魔法の液体が、あなたを透明にします。\nこの呪文は、シミの付いた、あるいは濡れた服によって邪魔されます。\nこの服を脱ぐことはできません。,옷에 묻은 마법 액체로 인해 투명해졌습니다.\n오염됐거나 젖은 옷에 의해 주문이 방해 받을 수 있습니다.\n이 옷은 제거할 수 없습니다.,Olet näkymätön.,,,
status_on_fire,On fire ,В огне ,Em chamas ,Ardiendo ,In Flammen ,En feu ,着火 ,オンファイヤー ,불붙음 ,Tulessa.,,,
statusdesc_on_fire,You're on fire. Find some water!,Вы загорелись. Нужна вода!,Você está pegando fogo. Encontre água!,Estás ardiendo. ¡Encuentra agua!,Du stehst in Flammen. Finde etwas Wasser!,Vous êtes en feu. Trouvez de l'eau !,你着火了。快去找水来！,あなたは燃えています。水を見つけないと！,불이 붙었습니다. 물을 찾으세요!,Olet tulessa. Juokse veteen!,,,
boss_limbs_limb_attacker,Spider leg,Паучья нога,Pata de aranha,Pata de araña,Spinnenbein,Patte d'araignée,蜘蛛腿,スパイダーレッグ,거미 다리,,,,
biome_boss_arena,The Laboratory,Лаборатория,O Laboratório,El Laboratorio,Das Labor,Le laboratoire,实验室,研究所,연구실,,,,
biome_boss_victoryroom,The Work,Работа,O Trabalho,La Obra maestra,Das Große Werk,L'Œuvre,伟大之作,至聖所,작업,,,,
biome_coalmine,mines,шахты,minas,minas,Minen,Mines,矿场,鉱山,광산,,,,
biome_coalmine_alt,collapsed mines,обрушенные шахты,minas desabadas,minas derrumbadas,Eingestürzte Minen,Mines effondrées,坍塌矿场,崩壊した鉱山,무너진 광산,,,,
biome_crypt,Temple of the Art,Храм Искусства,Templo da Arte,Templo del Arte,Tempel der Kunst,Temple de l'art,艺之神殿,芸術の神殿,기술의 사원,,,,
biome_desert,Desert,Пустыня,Deserto,Desierto,Wüste,Désert,沙漠,砂漠,사막,,,,
biome_dragoncave,Dragoncave,Драконья пещера,Caverna do Dragão,Cueva de dragón,Drachenhöhle,Grotte du dragon,龙窟,ドラゴンの洞窟,용의 동굴,,,,
biome_ending_placeholder,Master Symbol Crypt,Master Symbol Crypt,Master Symbol Crypt,Cripta del Símbolo Maestro,Meistersymbol-Krypta,Master Symbol Crypt,宗师符号地穴,マスターシンボルの穴蔵,마스터 심볼 지하실,,,,
biome_excavationsite,Coal Pits,Угольные карьеры,Fossos de Carvão,Simas de carbón,Kohlebergwerke,Mines de charbon,煤矿矿坑,炭坑,석탄 구덩이,,,,
biome_fungicave,Fungal Caverns,Грибные пещеры,Cavernas Fúngicas,Cavernas de los hongos,Pilzkavernen,Cavernes fongiques,真菌洞穴,真菌洞窟,곰팡이 동굴,,,,
biome_gold,Gold,Золото,Ouro,Mina de oro,Gold,Or,金矿,ゴールド,황금,,,,
biome_lake,Lake,Озеро,Lago,Lago,See,Lac,湖泊,湖,호수,,,,
biome_lava,Volcanic Lake,Вулканическое озеро,Lago Vulcânico,Lago volcánico,Vulkanischer See,Lac volcanique,火山湖,火山性の湖,화산 호수,,,,
biome_lavacave,Volcanic Cave,Вулканическая пещера,Caverna Vulcânica,Cueva volcánica,Vulkanischer Höhle,Grotte volcanique,火山洞穴,火山性の洞窟,화산 동굴,,,,
biome_magic_gate,Sanctuary,Святилище,Santuário,Santuario,Heiligtum,Sanctuaire,庇护所,聖域,성소,,,,
biome_null,unknown,неизвестно,desconhecido,desconocido,unbekannt,inconnu,未知,不明,모름,,,,
biome_pyramid,Pyramid,Пирамида,Pirâmide,Pirámide,Pyramide,Pyramide,金字塔,ピラミッド,피라미드,,,,
biome_rainforest,Underground Jungle,Подземные джунгли,Selva Subterrânea,Jungla subterránea,Unterirdischer Dschungel,Jungle souterraine,地下丛林,地下ジャングル,지하 정글,,,,
biome_sandcave,Sandcave,Песчаная пещера,Caverna de areia,Cueva de arena,Sandhöhle,Grotte de sable,砂之洞穴,砂の洞窟,모래 동굴,,,,
biome_secret_entrance,Mysterious Gate,Таинственные врата,Portão Misterioso,Puerta misteriosa,Mysteriöses Tor,Porte mystérieuse,神秘之门,謎の門,신비한 문,,,,
biome_shop_room,Secret Shop,Секретный магазин,Loja Secreta,Tienda secreta,Geheimer Laden,Boutique secrète,秘密商店,秘密の店,비밀 상점,,,,
biome_snowcastle,Hiisi Base,База Хийси,Base Hiisi,Base Hiisi,Hiisi-Basis,Base hiisi,席西基地,ヒーシの基地,히시 기지,,,,
biome_snowcave,Snowy Depths,Снежные глубины,Profundezas Nevadas,Profundidades nevadas,Verschneite Tiefen,Profondeurs enneigées,积雪深渊,雪のどん底,눈 덮인 계곡,,,,
biome_town_under,twisty passages,извилистые ходы,passagens tortuosas,pasadizos retorcidos,gewundene Gänge,Passages serpentins,扭曲通道,曲がりくねった道,뒤틀린 길,,,,
biome_vault,The Vault,Убежище,O Cofre,La Cámara,Das Gewölbe,Le coffre-fort,避难所,金庫室,금고,,,,
biome_wandcave,magical temple,волшебный храм,templo mágico,templo mágico,magischer Tempel,Temple magique,魔法神殿,魔法の神殿,마법 사원,,,,
biome_water,water,вода,água,agua,Wasser,Eau,水,水,물,,,,
biome_winter,snowy wasteland,снежная пустошь,ermo nevado,yermo nevado,verschneites Ödland,Terres gelées,落雪荒原,雪の荒地,눈 덮인 황무지,,,,
biome_holymountain,Holy Mountain,Святая гора,Montanha Sagrada,Montaña Sagrada,Heiliger Berg,Montagne sacrée,神圣之山,聖なる山,신성한 산,Pyhä Vuori,,This is a reference to the Jodorowsky film 'Holy Mountain',
biome_east,East $0,"$0, восток",$0 Oriental,$0 del este,$0 – Ost,$0 est,$0以东,東 $0,동쪽 $0,,,,
biome_west,West $0,"$0, запад",$0 Ocidental,$0 del oeste,$0 – West,$0 ouest,$0以西,西 $0,서쪽 $0,,,,
animal_player,Minä,,,,,,,,,,,doesn't need to be translated,
animal_boss_centipede,Kolmisilmä,Kolmisilmä,Três-olhos,El ser de tres ojos,Dreiauge,Trois yeux,三眼,三つ目,콜미실마,,,Animal names (animal_) are in finnish. Should not be translated,
animal_boss_centipede_minion,Kolmisilmän apuri,,,,,,,,,,,doesn't need to be translated,
animal_boss_limbs,Kolmisilmän koipi,,,,,,,,,,,doesn't need to be translated,
animal_boss_dragon_endcrystal,Mato,,,,,,,,,,,doesn't need to be translated,
