,en,fi-es,ru,zh-cn,jp,ko,pt-br,es-es,de,fr-fr,,NOTES – use \n for newline,max length
credits_fmod,Noita uses FMOD Studio by Firelight Technologies Pty Ltd,Noita uses FMOD Studio by Firelight Technologies Pty Ltd,Noita использует FMOD Studio от Firelight Technologies Pty Ltd,《Noita》使用 Firelight Technologies Pty Ltd. 推出的 FMOD Studio 制作,NoitaはFirelight Technologies Pty LtdのFMOD Studioを使用しています,Noita는 Firelight Technologies Pty Ltd의 FMOD Studio를 사용했습니다.,Noita usa FMOD Studio da Firelight Technologies Pty Ltd.,Noita usa FMOD Studio de Firelight Technologies Pty Ltd,Noita verwendet FMOD Studio von Firelight Technologies Pty Ltd,Noita utilise FMOD Studio par Firelight Technologies Pty Ltd,,,
credits_copyright,Noita (c) Nolla Games Oy 2019,Noita (c) Nolla Games Oy 2019,"Noita (c) Nolla Games Oy, 2019",《Noita》(c) Nolla Games Oy 2019,Noita (c) Nolla Games Oy 2019,Noita (c) Nolla Games Oy 2019,Noita (c) Nolla Games Oy 2019,Noita (c) Nolla Games Oy 2019,Noita (c) Nolla Games Oy 2019,Noita (c) Nolla Games Oy 2019,,,
progress_perks,Perks,Perkit,Бонусы,特性,特典,능력,Vantagens,Ventajas,Boni,Avantages,,,
progress_actions,Spells,Loitsut,Заклинания,法术,呪文,주문,Feitiços,Hechizos,Zauber,Sorts,,,
progress_secrets,Secrets,Salarit,Секреты,秘密,秘密,비밀,Segredos,Secretos,Geheimnisse,Secrets,,,
progress_enemies,Enemies,Vihut,Враги,敌人,敵,적,Inimigos,Enemigos,Feinde,Ennemis,,,
progress_unlocked,Unlocks,,Открытие,解锁,アンロック,잠금 해제,Desbloqueios,Desbloqueos,Freischaltungen,Déverrouillages,,,
progress_completed,$0 $1 secrets found,$0 läpäisty $1,Найдено секретов: $0 $1,$0 $1 秘密已发现,$0 $1 の秘密を発見,$0 $1 비밀 발견,$0/$1 segredos encontrados,$0 $1 secretos encontrados,$0 $1 Geheimnisse gefunden,$0 $1 secrets trouvés,,,
progress_kills,Kills: $0,,Убийства: $0,击杀：$0,キル数： $0,킬: $0,Abates: $0,Muertes: $0,Tötungen: $0,Victimes : $0,,,
progress_unknown,???,???,???,???,???,???,???,¿¿??,???,???,,,
progress_ending0,Discovered the secret below - ,,Найден секрет ниже — ,已发现下方的秘密 - ,下記の秘密を発見しました - ,아래 비밀을 발견했습니다 - ,Descobriu o segredo abaixo - ,Has descubierto el secreto inferior - ,Das untere Geheimnis gefunden - ,A découvert le secret en bas - ,,,
progress_ending1,Discovered the secret above - ,,Найден секрет выше — ,已发现上方的秘密 - ,上記の秘密を発見しました - ,위 비밀을 발견했습니다 - ,Descobriu o segredo acima - ,Has descubierto el secreto superior - ,Das obere Geheimnis gefunden - ,A découvert le secret en haut - ,,,
progress_ending01,Discovered the secrets above and below - ,,Найдены секреты выше и ниже — ,已发现上方和下方的秘密 - ,上記と下記の秘密を発見しました - ,위와 아래의 비밀을 발견했습니다 - ,Descobriu os segredos acima e abaixo - ,Has descubierto los secretos superior e inferior - ,Das obere und untere Geheimnis gefunden - ,A découvert les secrets en haut et en bas - ,,,
status_wet,Wet,Märkä,Влага,潮湿,ウェット,젖음,Molhado,Mojado,Nass,Mouillé(e),,,
statusdesc_wet,Wet clothes protect you from fire.,Olet märkä. Tuli ei sytytä.,Влажная одежда защищает от огня.,潮湿的衣服可保护你免受火焰伤害。,濡れている服は炎からあなたを守ってくれます。,젖은 옷은 불로부터 보호해줍니다.,Roupas molhadas protegem você do fogo.,La ropa mojada te protege del fuego,Nasse Kleidung schützt dich vor Feuer.,Les vêtements mouillés vous protègent du feu.,,,
status_oiled,Oiled ,Öljyinen,Нефть ,油污 ,オイル ,기름칠 ,Untado ,Aceitoso ,Geölt ,Huilé(e) ,,,
statusdesc_oiled,Oil makes you slippery and more flammable.,Olet öljyinen. Liike on liukasta. Palaminen kestää pidempään.,Нефть делает вас скользкими и легковозгораемыми.,油会令你行动打滑，并且更容易着火。,オイルはあなたをヌルヌルにして、引火しやすくします。,기름칠을 하면 더 미끄럽고 불이 잘 붙습니다.,O petróleo deixa você escorregadio e mais inflamável.,El aceite te hace resbaladizo e inflamable,Öl macht dich rutschig und leicht entflammbar.,L'huile vous rend glissant et inflammable.,,,
status_bloody,Bloody ,Verinen,Кровь ,染血 ,ブラッディー ,피투성이 ,Ensanguentado ,Ensangrentado ,Blutig ,Ensanglanté(e) ,,,
statusdesc_bloody,Bloody clothes protect you from fire.\nYou sense an increased chance of attaining critical hits.,Olet verinen. Tuli ei sytytä. Kasvatettu kriittisen iskun onnistumisen mahdollisuus.,Окровавленная одежда защищает от огня.\nТакже у вас повышена вероятность критических ударов.,染血的衣服可保护你免受火焰伤害。\n你感觉自己更容易打出暴击。,血だらけの服はあなたを火から守ってくれます。\nクリティカルヒットの達成率が増加します。,피투성이 옷은 불로부터 보호해줍니다.\n치명타를 올릴 확률이 높아진 거 같습니다.,Roupas ensanguentadas protegem você do fogo.\nVocê sente uma chance maior de realizar acertos críticos.,La ropa ensangrentada te protege del fuego.\nSientes una mayor probabilidad de conseguir golpes críticos.,Blutige Kleidung schützt dich vor Feuer.\nDeine Chance auf kritische Treffer ist erhöht.,Les vêtements ensanglantés vous protègent du feu.\nVous sentez que vous avez plus de chances de porter des coups critiques.,,,
status_slimy,Slimy,Limainen,Слизь,粘液,スライミー,미끈거림,Pegajoso,Gelatinoso,Schleimig,Gluant(e),,,
statusdesc_slimy,Your slimy clothes protect you from fire.\nThe mucus makes moving around difficult.,Olet limainen. Liike on hidasta. Tuli ei sytytä.,Испачканная в слизи одежда защищает от огня.\nСлизь затрудняет передвижение.,沾染粘液的衣服可保护你免受火焰伤害。\n黏答答的粘液令移动更加困难。,ベトベトな服はあなたを火から守ってくれます。\n粘液のせいで移動が困難になります。,미끈한 옷은 불로부터 보호해줍니다.\n점액질 때문에 이동하기가 어렵습니다.,Roupas pegajosas protegem você do fogo.\nO muco dificulta sua locomoção.,La ropa gelatinosa te protege del fuego.\nLa mucosa dificulta el movimiento.,Deine schleimige Kleidung schützt dich vor Feuer.\nDer Schleim erschwert dir die Fortbewegung.,Les vêtements gluants vous protègent du feu.\nLe mucus rend les mouvements difficiles.,,,
status_radioactive,Toxic,Radioaktiivinen,Радиоактивность,毒液,猛毒,독성,Tóxico,Tóxico,Toxisch,Toxique,,,
statusdesc_radioactive,Toxic sludge in your clothes makes your health degrade slowly.\nWet clothes protect you from fire.\nCan be washed off by liquids.,Olet radioaktiivisen mönjän peitossa. HP laskee hitaasti. Tuli ei sytytä. Voidaan pestä pois nesteiden avulla.,Радиоактивные вещества на одежде медленно снижают здоровье.\nВлажная одежда защищает от огня.\nСмывается жидкостями.,毒液侵入你的衣服，令你的生命值缓慢减少。\n潮湿的衣服可保护你免受火焰伤害。\n可用液体清洗去除。,あなたの服に付いている猛毒ヘドロが、ヘルス減少をゆっくりにします。\n濡れている服は炎からあなたを守ってくれます。\n液体で洗い流すことができます。,옷에 묻은 독성 진흙이 체력을 서서히 깎습니다.\n젖은 옷은 불로부터 보호해줍니다.\n액체로 씻어낼 수 있습니다.,O lodo tóxico em suas roupas faz sua saúde se degradar aos poucos.\nRoupas molhadas protegem você do fogo.\nPode ser enxaguado com líquidos.,La toxina en tu ropa hace que tu salud baje gradualmente.\nLa ropa mojada te protege del fuego.\nSe elimina con los líquidos.,Toxischer Schlamm klebt an deiner Kleidung und raubt dir langsam LP.\nFeuchte Kleidung schützt dich vor Feuer.\nKann mit Flüssigkeiten abgewaschen werden.,La vase toxique sur vos vêtements draine lentement votre santé.\nLes vêtements mouillés vous protègent du feu.\nPeut être lavée par des liquides.,,,
status_alcoholic,Alcoholic,Alkoholin peitossa,Алкоголь,酒精,アルコホリック,알코올,Alcoólico,Alcohólico,Alkoholisch,Alcoolique,,,
statusdesc_alcoholic,The heavy scent of booze oozes of your clothes.\nAiming is disturbed.\nAnd alcohol is flammable too!,Olet alkoholin peitossa. Tähtäyksessäsh shaattaa olla ongelmia. Palaminen kestää pidempään.,"От одежды сильно разит спиртным.\nСтало сложнее целиться.\nКроме того, алкоголь огнеопасен!",你的衣服散发出浓重的酒气。\n瞄准受到影响。\n同时酒精也非常易燃！,キツイお酒の臭いがあなたの服からにじみ出ます。\n照準が邪魔されます。\nまた、アルコールにも引火性があります！,옷에서 술 냄새가 진동합니다.\n조준이 어려워집니다.\n알코올은 가연성입니다!,Suas roupas estão com um cheiro forte de bebida.\nA pontaria fica desequilibrada.\nE o álcool é inflamável também!,Tu ropa desprende un fuerte olor a licor.\nApuntar se complica.\n¡El alcohol es inflamable!,Der schwere Geruch von Schnaps strömt aus deiner Kleidung.\nDu zielst ungenau.\nAlkohol ist außerdem leicht entflammbar!,Une forte odeur d'alcool se dégage de vos vêtements.\nGêne la visée.\nEt l'alcool est inflammable aussi !,,,
status_poisoned,Poisoned,Myrkytetty,Яд,中毒,ポイズン,중독됨,Envenenado,Envenenado,Vergiftet,Empoisonné(e),,,
statusdesc_poisoned,A poisoning slowly degrades your health. ,Olet myrkytetty. HP laskee hitaasti.,Яд медленно снижает здоровье. ,中毒会令你的生命值缓慢减少。 ,猛毒はあなたのヘルスをゆっくりと減少させます。 ,중독되면 체력이 서서히 깎입니다. ,Um veneno degrada sua saúde aos poucos. ,Un veneno mengua tu salud poco a poco. ,Eine Vergiftung raubt dir langsam LP. ,L'empoisonnement draine lentement votre santé. ,,,
status_teleportation,Teleportation,Teleportaatio,Телепортация,传送,テレポーテーション,텔레포트,Teletransporte,Teletransporte,Teleportierung,Téléportation,,,
statusdesc_teleportation, A teleport curse affects you.,Olet teleportaatiokirouksen alaisena., На вас действует проклятие телепортации., 你受到传送诅咒影响。, テレポートの呪いがあなたに影響を与えます。, 텔레포트의 저주를 받았습니다., Uma maldição de teletransporte afeta você., Sufres una maldición de teletransporte., Ein Teleportfluch liegt auf dir., Une malédiction de téléportation vous affecte.,,,
status_hp_regeneration,Regeneration ,Regenerointi,Восстановление ,再生 ,再生 ,재생 ,Regeneração ,Regeneración ,Regeneration ,Régénération ,,,
statusdesc_hp_regeneration,A health regeneration spell affects you.,Olet elämää generoivan loitsun alaisena.,На вас действует заклинание восстановления здоровья.,你受到生命值再生法术影响。,ヘルス再生の呪文があなたに影響を与えます。,체력 재생 주문의 영향을 받고 있습니다.,Um feitiço de regeneração de saúde afeta você.,Estás bajo un hechizo de regeneración de salud.,Du stehst unter einem LP-Regenerations-Zauber.,Un sort de régénération de santé vous affecte.,,,
status_polymorph,Polymorph,Polymorffi,Полиморфизм,变形,多形体,변신,Polimorfia,Polimorfo,Polymorph,Polymorphisme,,,
statusdesc_polymorph,You're a sheep.,Olet lammas.,Вы — овечка.,你成了一只小绵羊。,あなたは羊になりました。,양이 되었습니다.,Você é uma ovelha.,Eres una oveja.,Du bist ein Schaf.,Vous êtes un mouton.,,,
status_polymorph_random,Chaos polymorph,Kaoottinen polymorffi,Хаотический полиморфизм,混乱变形,カオスな多形体,혼돈 변신,Polimorfia do caos,Polimorfo caótico,Chaos-Polymorph,Polymorphisme chaotique,,,
statusdesc_polymorph_random,A polymorph curse affects you.,Olet polymorffikirouksen alaisena.,На вас действует проклятие полиморфизма.,你受到变形诅咒影响。,多形体の呪いがあなたに影響を与えます。,변신의 저주를 받고 있습니다.,Uma maldição de polimorfia afeta você.,Sufres una maldición de polimorfia.,Ein Polymorph-Fluch liegt auf dir.,Une malédiction de polymorphisme vous affecte.,,,
status_berserk,Berserk,Raivohullu,Неистовство,狂暴,バーサーク,버서커,Fúria,Berserker,Berserker,Berserker,,,
statusdesc_berserk,A berserk curse affects you.,Olet raivohulluus-kirouksen alaisena.,На вас действует проклятие неистовства.,你受到狂暴诅咒影响。,凶暴な呪いがあなたに影響を与えます。,버서커의 저주를 받고 있습니다.,Uma maldição de fúria afeta você.,Sufres una maldición de berserker.,Ein Berserkerfluch liegt auf dir.,Une malédiction de berserker vous affecte.,,,
status_charm,Charmed,Lumottu,Чары,迷惑,チャーム,매료됨,Encantado,Embrujado,Bezaubert,Charmé(e),,,
statusdesc_charm,A charm affects you.,Olet lumouksen alaisena.,На вас действуют чары.,你受到迷惑影响。,魔力があなたに影響を与えます。,매료의 영향을 받고 있습니다.,Um encantamento afeta você.,Estás bajo un encantamiento,Eine Bezauberung liegt auf dir.,Un charme vous affecte.,,,
status_invisibility,Invisible,Näkymätön.,Невидимость,隐形,透明,투명,Invisível,Invisible,Unsichtbar,Invisible,,,
